"Kyn";"Aldursflokkur/Buseta";"Menntun";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013"
"Konur";"25 til 64 ara";"Grunnmenntun - ISCED 1, 2";28700;29300;27100;26100;26400;26900;25600;25100;25500;24800;24000
"Konur";"25 til 64 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";20900;21300;22200;22800;24500;24500;24900;25000;23200;22300;22600
"Konur";"25 til 64 ara";"Haskolamenntun - ISCED 5, 6";21100;21300;23300;25300;25600;27200;29300;30500;31800;32900;34400
"Konur";"25 til 64 ara";"Upplysingar vantar";400;300;300;400;300;100;0;0;100;100;100
"Konur";"16 til 19 ara";"Alls";7700;8000;8100;8500;8800;8900;9100;8900;8900;8900;8600
"Konur";"16 til 19 ara";"Grunnmenntun - ISCED 1, 2";6900;7200;7300;7700;8400;8700;8700;8600;8500;8400;8200
"Konur";"16 til 19 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";900;700;800;900;500;200;400;300;400;500;400
"Konur";"16 til 19 ara";"Haskolamenntun - ISCED 5, 6";0;0;0;0;0;0;0;0;0;0;0
"Konur";"16 til 19 ara";"Upplysingar vantar";0;0;0;0;0;0;0;0;0;0;0
"Konur";"20 til 24 ara";"Alls";10100;10000;9600;9500;9900;10400;10600;10900;11000;10700;11000
"Konur";"20 til 24 ara";"Grunnmenntun - ISCED 1, 2";3900;3600;3600;3300;3400;4300;4300;4900;4600;4300;3700
"Konur";"20 til 24 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";5700;5900;5600;5900;6200;5600;6000;5700;6100;5900;7000
"Konur";"20 til 24 ara";"Haskolamenntun - ISCED 5, 6";500;500;400;300;300;600;300;300;400;400;300
"Konur";"20 til 24 ara";"Upplysingar vantar";0;0;0;0;0;0;0;0;0;0;0
"Konur";"25 til 29 ara";"Alls";9700;9700;9800;10000;10700;11300;11300;11200;10600;9900;10200
"Konur";"25 til 29 ara";"Grunnmenntun - ISCED 1, 2";2900;2600;2700;2900;2900;3000;2700;2600;2400;2000;2300
"Konur";"25 til 29 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";4400;3900;3700;3600;3900;4200;4300;4000;3700;3700;3300
"Konur";"25 til 29 ara";"Haskolamenntun - ISCED 5, 6";2400;3200;3300;3600;3900;4100;4300;4600;4500;4200;4500
"Konur";"25 til 29 ara";"Upplysingar vantar";0;0;0;0;0;0;0;0;0;0;0
"Konur";"30 til 49 ara";"Alls";40500;40700;40400;41000;41600;42100;42300;42400;42300;41900;42200
"Konur";"30 til 49 ara";"Grunnmenntun - ISCED 1, 2";14200;14900;13300;12500;12500;11800;11000;10500;10800;10200;9800
"Konur";"30 til 49 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";11300;11600;12200;12300;13100;12900;12800;13300;11800;11000;11700
"Konur";"30 til 49 ara";"Haskolamenntun - ISCED 5, 6";14700;14000;14800;16000;15900;17400;18400;18600;19800;20600;20600
"Konur";"30 til 49 ara";"Upplysingar vantar";200;200;100;200;200;100;0;0;0;100;100
"Konur";"50 til 64 ara";"Alls";20900;21700;22600;23500;24500;25400;26200;27000;27600;28200;28800
"Konur";"50 til 64 ara";"Grunnmenntun - ISCED 1, 2";11600;11800;11100;10700;11000;12100;11900;11900;12300;12600;12000
"Konur";"50 til 64 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";5200;5800;6200;6900;7500;7400;7700;7700;7800;7500;7600
"Konur";"50 til 64 ara";"Haskolamenntun - ISCED 5, 6";3900;4100;5100;5700;5800;5800;6600;7300;7500;8100;9200
"Konur";"50 til 64 ara";"Upplysingar vantar";100;0;200;200;100;100;0;0;0;0;0
"Konur";"65 til 74 ara";"Alls";9500;9400;9300;9300;9400;9600;9900;10200;10600;11000;11600
"Konur";"65 til 74 ara";"Grunnmenntun - ISCED 1, 2";6400;6900;6600;6200;6100;6100;6400;6800;7100;6700;6800
"Konur";"65 til 74 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";1900;1700;1900;2000;2200;2400;2400;2400;2300;2500;2900
"Konur";"65 til 74 ara";"Haskolamenntun - ISCED 5, 6";900;500;600;1000;1100;1100;1100;1000;1200;1800;1900
"Konur";"65 til 74 ara";"Upplysingar vantar";400;300;200;100;100;100;0;0;0;0;0
"Konur";"Hofudborgarsvaedi 16-74 ara";"Alls";64500;65400;64900;67100;68400;68900;72000;73800;73900;72600;73900
"Konur";"Hofudborgarsvaedi 16-74 ara";"Grunnmenntun - ISCED 1, 2";25500;26500;24800;24100;23900;24400;25000;25800;26500;25400;23700
"Konur";"Hofudborgarsvaedi 16-74 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";21100;21300;21500;22700;23300;22500;23400;23300;21900;21500;23000
"Konur";"Hofudborgarsvaedi 16-74 ara";"Haskolamenntun - ISCED 5, 6";17400;17300;18200;20000;21000;22000;23600;24600;25400;25600;27100
"Konur";"Hofudborgarsvaedi 16-74 ara";"Upplysingar vantar";500;400;400;300;200;100;100;0;100;100;0
"Konur";"Utan hofudborgarsvaedis 16-74 ara";"Alls";33800;34000;35000;34900;36600;38700;37400;36900;37200;38100;38500
"Konur";"Utan hofudborgarsvaedis 16-74 ara";"Grunnmenntun - ISCED 1, 2";20300;20500;19800;19200;20300;21500;20000;19600;19200;18900;19000
"Konur";"Utan hofudborgarsvaedis 16-74 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";8300;8300;9000;8900;10100;10200;10200;10100;10100;9700;10000
"Konur";"Utan hofudborgarsvaedis 16-74 ara";"Haskolamenntun - ISCED 5, 6";5000;5000;6100;6600;6000;6900;7100;7200;7900;9500;9500
"Konur";"Utan hofudborgarsvaedis 16-74 ara";"Upplysingar vantar";200;200;100;300;200;100;0;0;0;0;100
"Konur";"Hofudborgarsvaedi 25-64 ara";"Alls";45700;46700;46200;47900;49100;49900;52700;53400;53000;51300;52300
"Konur";"Hofudborgarsvaedi 25-64 ara";"Grunnmenntun - ISCED 1, 2";14700;15500;13900;12900;12500;12900;13400;12900;13500;12700;12200
"Konur";"Hofudborgarsvaedi 25-64 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";14400;14600;14700;15700;16700;16300;16700;17000;15200;14600;14700
"Konur";"Hofudborgarsvaedi 25-64 ara";"Haskolamenntun - ISCED 5, 6";16300;16400;17300;19000;19700;20700;22500;23500;24200;24000;25400
"Konur";"Hofudborgarsvaedi 25-64 ara";"Upplysingar vantar";200;100;200;200;200;0;0;0;100;100;0
"Konur";"Utan hofudborgarsvaedis 25-64 ara";"Alls";25300;25300;26600;26700;27800;28800;27200;27100;27600;28800;28800
"Konur";"Utan hofudborgarsvaedis 25-64 ara";"Grunnmenntun - ISCED 1, 2";14000;13700;13200;13200;13900;14000;12200;12100;12000;12100;11800
"Konur";"Utan hofudborgarsvaedis 25-64 ara";"Starfs- og framhaldsmenntun - ISCED 3, 4";6500;6600;7500;7000;7900;8200;8100;8000;8000;7700;8000
"Konur";"Utan hofudborgarsvaedis 25-64 ara";"Haskolamenntun - ISCED 5, 6";4700;4900;5900;6300;5900;6500;6800;7000;7600;9000;9000
"Konur";"Utan hofudborgarsvaedis 25-64 ara";"Upplýsingar vantar";100;100;100;200;200;100;0;0;0;0;100
